,A,B
2,0.7316666666666667,
3,0.7875,
4,0.8416666666666667,0.6905555555555556
5,0.8333333333333334,0.7105555555555556
6,0.8394444444444444,0.7133333333333334
7,0.8416666666666667,0.7122222222222222
8,0.8372222222222222,0.7105555555555556
9,0.85,0.71
10,0.8538888888888889,0.7394444444444445
11,0.8711111111111111,0.7127777777777777
12,0.8727777777777778,0.715
13,0.8827777777777778,0.71
14,0.87,0.7305555555555555
15,0.8877777777777778,0.7127777777777777
16,0.8883333333333333,0.73
17,0.88,0.7294444444444445
0,0.5211111111111111,
1,0.7041666666666667,
2,0.7416666666666667,
3,0.7816666666666666,
4,0.7977777777777778,0.6077777777777778
5,0.8094444444444444,0.6383333333333333
6,0.8022222222222222,0.5855555555555556
7,0.7983333333333333,0.615
8,0.8161111111111111,0.6172222222222222
9,0.8094444444444444,0.6116666666666667
10,0.8188888888888889,0.6122222222222222
11,0.7905555555555556,0.6272222222222222
12,0.8155555555555556,0.6177777777777778
13,0.82,0.6116666666666667
14,0.8155555555555556,0.6261111111111111
15,0.8105555555555556,0.6044444444444445
16,0.8138888888888889,0.6433333333333333
17,0.8133333333333334,0.6166666666666667
0,0.5022222222222222,
1,0.5966666666666667,
2,0.7316666666666667,
3,0.7875,
4,0.8416666666666667,0.6905555555555556
5,0.8333333333333334,0.7105555555555556
6,0.8394444444444444,0.7133333333333334
7,0.8416666666666667,0.7122222222222222
8,0.8372222222222222,0.7105555555555556
9,0.85,0.71
10,0.8538888888888889,0.7394444444444445
11,0.8711111111111111,0.7127777777777777
12,0.8727777777777778,0.715
13,0.8827777777777778,0.71
14,0.87,0.7305555555555555
15,0.8877777777777778,0.7127777777777777
16,0.8883333333333333,0.73
17,0.88,0.7294444444444445
0,0.5211111111111111,
1,0.7041666666666667,
2,0.7416666666666667,
3,0.7816666666666666,
4,0.7977777777777778,0.6077777777777778
5,0.8094444444444444,0.6383333333333333
6,0.8022222222222222,0.5855555555555556
7,0.7983333333333333,0.615
8,0.8161111111111111,0.6172222222222222
9,0.8094444444444444,0.6116666666666667
10,0.8188888888888889,0.6122222222222222
11,0.7905555555555556,0.6272222222222222
12,0.8155555555555556,0.6177777777777778
13,0.82,0.6116666666666667
14,0.8155555555555556,0.6261111111111111
15,0.8105555555555556,0.6044444444444445
16,0.8138888888888889,0.6433333333333333
17,0.8133333333333334,0.6166666666666667
0,0.5022222222222222,
1,0.5966666666666667,
2,0.7316666666666667,
3,0.7875,
4,0.8416666666666667,0.6905555555555556
5,0.8333333333333334,0.7105555555555556
6,0.8394444444444444,0.7133333333333334
7,0.8416666666666667,0.7122222222222222
8,0.8372222222222222,0.7105555555555556
9,0.85,0.71
10,0.8538888888888889,0.7394444444444445
11,0.8711111111111111,0.7127777777777777
12,0.8727777777777778,0.715
13,0.8827777777777778,0.71
14,0.87,0.7305555555555555
15,0.8877777777777778,0.7127777777777777
16,0.8883333333333333,0.73
17,0.88,0.7294444444444445
0,0.5211111111111111,
1,0.7041666666666667,
2,0.7416666666666667,
3,0.7816666666666666,
4,0.7977777777777778,0.6077777777777778
5,0.8094444444444444,0.6383333333333333
6,0.8022222222222222,0.5855555555555556
7,0.7983333333333333,0.615
8,0.8161111111111111,0.6172222222222222
9,0.8094444444444444,0.6116666666666667
10,0.8188888888888889,0.6122222222222222
11,0.7905555555555556,0.6272222222222222
12,0.8155555555555556,0.6177777777777778
13,0.82,0.6116666666666667
14,0.8155555555555556,0.6261111111111111
15,0.8105555555555556,0.6044444444444445
16,0.8138888888888889,0.6433333333333333
17,0.8133333333333334,0.6166666666666667
0,0.5022222222222222,
1,0.5966666666666667,
2,0.7316666666666667,
3,0.7875,
4,0.8416666666666667,0.6905555555555556
5,0.8333333333333334,0.7105555555555556
6,0.8394444444444444,0.7133333333333334
7,0.8416666666666667,0.7122222222222222
8,0.8372222222222222,0.7105555555555556
9,0.85,0.71
10,0.8538888888888889,0.7394444444444445
11,0.8711111111111111,0.7127777777777777
12,0.8727777777777778,0.715
13,0.8827777777777778,0.71
14,0.87,0.7305555555555555
15,0.8877777777777778,0.7127777777777777
16,0.8883333333333333,0.73
17,0.88,0.7294444444444445
0,0.5211111111111111,
1,0.7041666666666667,
2,0.7416666666666667,
3,0.7816666666666666,
4,0.7977777777777778,0.6077777777777778
5,0.8094444444444444,0.6383333333333333
6,0.8022222222222222,0.5855555555555556
7,0.7983333333333333,0.615
8,0.8161111111111111,0.6172222222222222
9,0.8094444444444444,0.6116666666666667
10,0.8188888888888889,0.6122222222222222
11,0.7905555555555556,0.6272222222222222
12,0.8155555555555556,0.6177777777777778
13,0.82,0.6116666666666667
14,0.8155555555555556,0.6261111111111111
15,0.8105555555555556,0.6044444444444445
16,0.8138888888888889,0.6433333333333333
17,0.8133333333333334,0.6166666666666667
0,0.5022222222222222,
1,0.5966666666666667,
2,0.7316666666666667,
3,0.7875,
4,0.8416666666666667,0.6905555555555556
5,0.8333333333333334,0.7105555555555556
6,0.8394444444444444,0.7133333333333334
7,0.8416666666666667,0.7122222222222222
8,0.8372222222222222,0.7105555555555556
9,0.85,0.71
10,0.8538888888888889,0.7394444444444445
11,0.8711111111111111,0.7127777777777777
12,0.8727777777777778,0.715
13,0.8827777777777778,0.71
14,0.87,0.7305555555555555
15,0.8877777777777778,0.7127777777777777
16,0.8883333333333333,0.73
17,0.88,0.7294444444444445
0,0.5211111111111111,
1,0.7041666666666667,
2,0.7416666666666667,
3,0.7816666666666666,
4,0.7977777777777778,0.6077777777777778
5,0.8094444444444444,0.6383333333333333
6,0.8022222222222222,0.5855555555555556
7,0.7983333333333333,0.615
8,0.8161111111111111,0.6172222222222222
9,0.8094444444444444,0.6116666666666667
10,0.8188888888888889,0.6122222222222222
11,0.7905555555555556,0.6272222222222222
12,0.8155555555555556,0.6177777777777778
13,0.82,0.6116666666666667
14,0.8155555555555556,0.6261111111111111
15,0.8105555555555556,0.6044444444444445
16,0.8138888888888889,0.6433333333333333
17,0.8133333333333334,0.6166666666666667
0,0.5022222222222222,
1,0.5966666666666667,
2,0.7316666666666667,
3,0.7875,
4,0.8416666666666667,0.6905555555555556
5,0.8333333333333334,0.7105555555555556
6,0.8394444444444444,0.7133333333333334
7,0.8416666666666667,0.7122222222222222
8,0.8372222222222222,0.7105555555555556
9,0.85,0.71
10,0.8538888888888889,0.7394444444444445
11,0.8711111111111111,0.7127777777777777
12,0.8727777777777778,0.715
13,0.8827777777777778,0.71
14,0.87,0.7305555555555555
15,0.8877777777777778,0.7127777777777777
16,0.8883333333333333,0.73
17,0.88,0.7294444444444445
0,0.5211111111111111,
1,0.7041666666666667,
2,0.7416666666666667,
3,0.7816666666666666,
4,0.7977777777777778,0.6077777777777778
5,0.8094444444444444,0.6383333333333333
6,0.8022222222222222,0.5855555555555556
7,0.7983333333333333,0.615
8,0.8161111111111111,0.6172222222222222
9,0.8094444444444444,0.6116666666666667
10,0.8188888888888889,0.6122222222222222
11,0.7905555555555556,0.6272222222222222
12,0.8155555555555556,0.6177777777777778
13,0.82,0.6116666666666667
14,0.8155555555555556,0.6261111111111111
15,0.8105555555555556,0.6044444444444445
16,0.8138888888888889,0.6433333333333333
17,0.8133333333333334,0.6166666666666667
0,0.5022222222222222,
1,0.5966666666666667,
2,0.7316666666666667,
3,0.7875,
4,0.8416666666666667,0.6905555555555556
5,0.8333333333333334,0.7105555555555556
6,0.8394444444444444,0.7133333333333334
7,0.8416666666666667,0.7122222222222222
8,0.8372222222222222,0.7105555555555556
9,0.85,0.71
10,0.8538888888888889,0.7394444444444445
11,0.8711111111111111,0.7127777777777777
12,0.8727777777777778,0.715
13,0.8827777777777778,0.71
14,0.87,0.7305555555555555
15,0.8877777777777778,0.7127777777777777
16,0.8883333333333333,0.73
17,0.88,0.7294444444444445
0,0.5211111111111111,
1,0.7041666666666667,
2,0.7416666666666667,
3,0.7816666666666666,
4,0.7977777777777778,0.6077777777777778
5,0.8094444444444444,0.6383333333333333
6,0.8022222222222222,0.5855555555555556
7,0.7983333333333333,0.615
8,0.8161111111111111,0.6172222222222222
9,0.8094444444444444,0.6116666666666667
10,0.8188888888888889,0.6122222222222222
11,0.7905555555555556,0.6272222222222222
12,0.8155555555555556,0.6177777777777778
13,0.82,0.6116666666666667
14,0.8155555555555556,0.6261111111111111
15,0.8105555555555556,0.6044444444444445
16,0.8138888888888889,0.6433333333333333
17,0.8133333333333334,0.6166666666666667
0,0.5022222222222222,
1,0.5966666666666667,
2,0.7316666666666667,
3,0.7875,
4,0.8416666666666667,0.6905555555555556
5,0.8333333333333334,0.7105555555555556
6,0.8394444444444444,0.7133333333333334
7,0.8416666666666667,0.7122222222222222
8,0.8372222222222222,0.7105555555555556
9,0.85,0.71
10,0.8538888888888889,0.7394444444444445
11,0.8711111111111111,0.7127777777777777
12,0.8727777777777778,0.715
13,0.8827777777777778,0.71
14,0.87,0.7305555555555555
15,0.8877777777777778,0.7127777777777777
16,0.8883333333333333,0.73
17,0.88,0.7294444444444445
0,0.5211111111111111,
1,0.7041666666666667,
2,0.7416666666666667,
3,0.7816666666666666,
4,0.7977777777777778,0.6077777777777778
5,0.8094444444444444,0.6383333333333333
6,0.8022222222222222,0.5855555555555556
7,0.7983333333333333,0.615
8,0.8161111111111111,0.6172222222222222
9,0.8094444444444444,0.6116666666666667
10,0.8188888888888889,0.6122222222222222
11,0.7905555555555556,0.6272222222222222
12,0.8155555555555556,0.6177777777777778
13,0.82,0.6116666666666667
14,0.8155555555555556,0.6261111111111111
15,0.8105555555555556,0.6044444444444445
16,0.8138888888888889,0.6433333333333333
17,0.8133333333333334,0.6166666666666667
0,0.5022222222222222,
1,0.5966666666666667,
2,0.7316666666666667,
3,0.7875,
4,0.8416666666666667,0.6905555555555556
5,0.8333333333333334,0.7105555555555556
6,0.8394444444444444,0.7133333333333334
7,0.8416666666666667,0.7122222222222222
8,0.8372222222222222,0.7105555555555556
9,0.85,0.71
10,0.8538888888888889,0.7394444444444445
11,0.8711111111111111,0.7127777777777777
12,0.8727777777777778,0.715
13,0.8827777777777778,0.71
14,0.87,0.7305555555555555
15,0.8877777777777778,0.7127777777777777
16,0.8883333333333333,0.73
17,0.88,0.7294444444444445
0,0.5211111111111111,
1,0.7041666666666667,
2,0.7416666666666667,
3,0.7816666666666666,
4,0.7977777777777778,0.6077777777777778
5,0.8094444444444444,0.6383333333333333
6,0.8022222222222222,0.5855555555555556
7,0.7983333333333333,0.615
8,0.8161111111111111,0.6172222222222222
9,0.8094444444444444,0.6116666666666667
10,0.8188888888888889,0.6122222222222222
11,0.7905555555555556,0.6272222222222222
12,0.8155555555555556,0.6177777777777778
13,0.82,0.6116666666666667
14,0.8155555555555556,0.6261111111111111
15,0.8105555555555556,0.6044444444444445
16,0.8138888888888889,0.6433333333333333
17,0.8133333333333334,0.6166666666666667
0,0.5022222222222222,
1,0.5966666666666667,
2,0.7316666666666667,
3,0.7875,
4,0.8416666666666667,0.6905555555555556
5,0.8333333333333334,0.7105555555555556
6,0.8394444444444444,0.7133333333333334
7,0.8416666666666667,0.7122222222222222
8,0.8372222222222222,0.7105555555555556
9,0.85,0.71
10,0.8538888888888889,0.7394444444444445
11,0.8711111111111111,0.7127777777777777
12,0.8727777777777778,0.715
13,0.8827777777777778,0.71
14,0.87,0.7305555555555555
15,0.8877777777777778,0.7127777777777777
16,0.8883333333333333,0.73
17,0.88,0.7294444444444445
0,0.5211111111111111,
1,0.7041666666666667,
2,0.7416666666666667,
3,0.7816666666666666,
4,0.7977777777777778,0.6077777777777778
5,0.8094444444444444,0.6383333333333333
6,0.8022222222222222,0.5855555555555556
7,0.7983333333333333,0.615
8,0.8161111111111111,0.6172222222222222
9,0.8094444444444444,0.6116666666666667
10,0.8188888888888889,0.6122222222222222
11,0.7905555555555556,0.6272222222222222
12,0.8155555555555556,0.6177777777777778
13,0.82,0.6116666666666667
14,0.8155555555555556,0.6261111111111111
15,0.8105555555555556,0.6044444444444445
16,0.8138888888888889,0.6433333333333333
17,0.8133333333333334,0.6166666666666667
0,0.5022222222222222,
1,0.5966666666666667,
2,0.7316666666666667,
3,0.7875,
4,0.8416666666666667,0.6905555555555556
5,0.8333333333333334,0.7105555555555556
6,0.8394444444444444,0.7133333333333334
7,0.8416666666666667,0.7122222222222222
8,0.8372222222222222,0.7105555555555556
9,0.85,0.71
10,0.8538888888888889,0.7394444444444445
11,0.8711111111111111,0.7127777777777777
12,0.8727777777777778,0.715
13,0.8827777777777778,0.71
14,0.87,0.7305555555555555
15,0.8877777777777778,0.7127777777777777
16,0.8883333333333333,0.73
17,0.88,0.7294444444444445
0,0.5211111111111111,
1,0.7041666666666667,
2,0.7416666666666667,
3,0.7816666666666666,
4,0.7977777777777778,0.6077777777777778
5,0.8094444444444444,0.6383333333333333
6,0.8022222222222222,0.5855555555555556
7,0.7983333333333333,0.615
8,0.8161111111111111,0.6172222222222222
9,0.8094444444444444,0.6116666666666667
10,0.8188888888888889,0.6122222222222222
11,0.7905555555555556,0.6272222222222222
12,0.8155555555555556,0.6177777777777778
13,0.82,0.6116666666666667
14,0.8155555555555556,0.6261111111111111
15,0.8105555555555556,0.6044444444444445
16,0.8138888888888889,0.6433333333333333
17,0.8133333333333334,0.6166666666666667
0,0.5022222222222222,
1,0.5966666666666667,
2,0.7316666666666667,
3,0.7875,
4,0.8416666666666667,0.6905555555555556
5,0.8333333333333334,0.7105555555555556
6,0.8394444444444444,0.7133333333333334
7,0.8416666666666667,0.7122222222222222
8,0.8372222222222222,0.7105555555555556
9,0.85,0.71
10,0.8538888888888889,0.7394444444444445
11,0.8711111111111111,0.7127777777777777
12,0.8727777777777778,0.715
13,0.8827777777777778,0.71
14,0.87,0.7305555555555555
15,0.8877777777777778,0.7127777777777777
16,0.8883333333333333,0.73
17,0.88,0.7294444444444445
0,0.5211111111111111,
1,0.7041666666666667,
2,0.7416666666666667,
3,0.7816666666666666,
4,0.7977777777777778,0.6077777777777778
5,0.8094444444444444,0.6383333333333333
6,0.8022222222222222,0.5855555555555556
7,0.7983333333333333,0.615
8,0.8161111111111111,0.6172222222222222
9,0.8094444444444444,0.6116666666666667
10,0.8188888888888889,0.6122222222222222
11,0.7905555555555556,0.6272222222222222
12,0.8155555555555556,0.6177777777777778
13,0.82,0.6116666666666667
14,0.8155555555555556,0.6261111111111111
15,0.8105555555555556,0.6044444444444445
16,0.8138888888888889,0.6433333333333333
17,0.8133333333333334,0.6166666666666667
0,0.5022222222222222,
1,0.5966666666666667,
2,0.7316666666666667,
3,0.7875,
4,0.8416666666666667,0.6905555555555556
5,0.8333333333333334,0.7105555555555556
6,0.8394444444444444,0.7133333333333334
7,0.8416666666666667,0.7122222222222222
8,0.8372222222222222,0.7105555555555556
9,0.85,0.71
10,0.8538888888888889,0.7394444444444445
11,0.8711111111111111,0.7127777777777777
12,0.8727777777777778,0.715
13,0.8827777777777778,0.71
14,0.87,0.7305555555555555
15,0.8877777777777778,0.7127777777777777
16,0.8883333333333333,0.73
17,0.88,0.7294444444444445
0,0.5211111111111111,
1,0.7041666666666667,
2,0.7416666666666667,
3,0.7816666666666666,
4,0.7977777777777778,0.6077777777777778
5,0.8094444444444444,0.6383333333333333
6,0.8022222222222222,0.5855555555555556
7,0.7983333333333333,0.615
8,0.8161111111111111,0.6172222222222222
9,0.8094444444444444,0.6116666666666667
10,0.8188888888888889,0.6122222222222222
11,0.7905555555555556,0.6272222222222222
12,0.8155555555555556,0.6177777777777778
13,0.82,0.6116666666666667
14,0.8155555555555556,0.6261111111111111
15,0.8105555555555556,0.6044444444444445
16,0.8138888888888889,0.6433333333333333
17,0.8133333333333334,0.6166666666666667
0,0.5022222222222222,
1,0.5966666666666667,
2,0.7316666666666667,
3,0.7875,
4,0.8416666666666667,0.6905555555555556
5,0.8333333333333334,0.7105555555555556
6,0.8394444444444444,0.7133333333333334
7,0.8416666666666667,0.7122222222222222
8,0.8372222222222222,0.7105555555555556
9,0.85,0.71
10,0.8538888888888889,0.7394444444444445
11,0.8711111111111111,0.7127777777777777
12,0.8727777777777778,0.715
13,0.8827777777777778,0.71
14,0.87,0.7305555555555555
15,0.8877777777777778,0.7127777777777777
16,0.8883333333333333,0.73
17,0.88,0.7294444444444445
0,0.5211111111111111,
1,0.7041666666666667,
2,0.7416666666666667,
3,0.7816666666666666,
4,0.7977777777777778,0.6077777777777778
5,0.8094444444444444,0.6383333333333333
6,0.8022222222222222,0.5855555555555556
7,0.7983333333333333,0.615
8,0.8161111111111111,0.6172222222222222
9,0.8094444444444444,0.6116666666666667
10,0.8188888888888889,0.6122222222222222
11,0.7905555555555556,0.6272222222222222
12,0.8155555555555556,0.6177777777777778
13,0.82,0.6116666666666667
14,0.8155555555555556,0.6261111111111111
15,0.8105555555555556,0.6044444444444445
16,0.8138888888888889,0.6433333333333333
17,0.8133333333333334,0.6166666666666667
0,0.5022222222222222,
1,0.5966666666666667,
2,0.7316666666666667,
3,0.7875,
4,0.8416666666666667,0.6905555555555556
5,0.8333333333333334,0.7105555555555556
6,0.8394444444444444,0.7133333333333334
7,0.8416666666666667,0.7122222222222222
8,0.8372222222222222,0.7105555555555556
9,0.85,0.71
10,0.8538888888888889,0.7394444444444445
11,0.8711111111111111,0.7127777777777777
12,0.8727777777777778,0.715
13,0.8827777777777778,0.71
14,0.87,0.7305555555555555
15,0.8877777777777778,0.7127777777777777
16,0.8883333333333333,0.73
17,0.88,0.7294444444444445
0,0.5211111111111111,
1,0.7041666666666667,
2,0.7416666666666667,
3,0.7816666666666666,
4,0.7977777777777778,0.6077777777777778
5,0.8094444444444444,0.6383333333333333
6,0.8022222222222222,0.5855555555555556
7,0.7983333333333333,0.615
8,0.8161111111111111,0.6172222222222222
9,0.8094444444444444,0.6116666666666667
10,0.8188888888888889,0.6122222222222222
11,0.7905555555555556,0.6272222222222222
12,0.8155555555555556,0.6177777777777778
13,0.82,0.6116666666666667
14,0.8155555555555556,0.6261111111111111
15,0.8105555555555556,0.6044444444444445
16,0.8138888888888889,0.6433333333333333
17,0.8133333333333334,0.6166666666666667
0,0.5022222222222222,
1,0.5966666666666667,
2,0.7316666666666667,
3,0.7875,
4,0.8416666666666667,0.6905555555555556
5,0.8333333333333334,0.7105555555555556
6,0.8394444444444444,0.7133333333333334
7,0.8416666666666667,0.7122222222222222
8,0.8372222222222222,0.7105555555555556
9,0.85,0.71
10,0.8538888888888889,0.7394444444444445
